shipment_id,decision_time,cohort,source,latest_temperature_c,measurement_age_minutes,arrival_delay_minutes,temperature_missing,temperature_count,temperature_mean_c,temperature_max_c,temperature_trend_c_per_hour,temperature_span_hours,label,label_cutoff
s-00000,2026-01-01 08:00:00+00:00,train,sensor-north,3.798,60.0,35.0,0,2,4.2425,4.687,-0.8890000000000002,1.0,0,2026-02-15 08:00:00+00:00
s-00000,2026-01-01 11:00:00+00:00,train,sensor-north,5.386,60.0,2.0,0,1,5.386,5.386,,0.0,1,2026-02-15 08:00:00+00:00
s-00001,2026-01-01 11:00:00+00:00,train,sensor-central,4.436,60.0,0.0,0,2,4.0600000000000005,4.436,0.7519999999999998,1.0,0,2026-02-15 08:00:00+00:00
s-00000,2026-01-01 14:00:00+00:00,train,sensor-north,9.857,0.0,0.0,0,3,8.977666666666666,9.857,1.1124999999999998,2.0,1,2026-02-15 08:00:00+00:00
s-00001,2026-01-01 14:00:00+00:00,train,sensor-central,6.839,0.0,0.0,0,3,5.2700000000000005,6.839,1.0275000000000003,2.0,0,2026-02-15 08:00:00+00:00
s-00002,2026-01-01 14:00:00+00:00,train,sensor-coast,4.184,60.0,2.0,0,2,4.5169999999999995,4.85,-0.6659999999999995,1.0,0,2026-02-15 08:00:00+00:00
s-00001,2026-01-01 17:00:00+00:00,train,sensor-central,7.38,60.0,2.0,0,1,7.38,7.38,,0.0,1,2026-02-15 08:00:00+00:00
s-00002,2026-01-01 17:00:00+00:00,train,sensor-coast,4.325,60.0,2.0,0,2,4.406000000000001,4.487,-0.16199999999999992,1.0,0,2026-02-15 08:00:00+00:00
s-00003,2026-01-01 17:00:00+00:00,train,sensor-north,3.598,0.0,0.0,0,2,3.8605,4.123,-0.2625000000000002,2.0,0,2026-02-15 08:00:00+00:00
s-00002,2026-01-01 20:00:00+00:00,train,sensor-coast,4.708,120.0,5.0,0,1,4.708,4.708,,0.0,0,2026-02-15 08:00:00+00:00
s-00003,2026-01-01 20:00:00+00:00,train,sensor-north,4.564,60.0,2.0,0,2,4.537,4.564,0.05400000000000027,1.0,0,2026-02-15 08:00:00+00:00
s-00004,2026-01-01 20:00:00+00:00,train,sensor-central,4.056,60.0,1.0,0,1,4.056,4.056,,0.0,0,2026-02-15 08:00:00+00:00
