file_row,decision_time,shipment_id,decision_time_utc
1,2026-01-01T08:00:00Z,s-00000,2026-01-01 08:00:00+00:00
2,2026-01-01T11:00:00Z,s-00000,2026-01-01 11:00:00+00:00
3,2026-01-01T14:00:00Z,s-00000,2026-01-01 14:00:00+00:00
4,2026-01-01T11:00:00Z,s-00001,2026-01-01 11:00:00+00:00
5,2026-01-01T14:00:00Z,s-00001,2026-01-01 14:00:00+00:00
6,2026-01-01T17:00:00Z,s-00001,2026-01-01 17:00:00+00:00
7,2026-01-01T14:00:00Z,s-00002,2026-01-01 14:00:00+00:00
8,2026-01-01T17:00:00Z,s-00002,2026-01-01 17:00:00+00:00
9,2026-01-01T20:00:00Z,s-00002,2026-01-01 20:00:00+00:00
10,2026-01-01T17:00:00Z,s-00003,2026-01-01 17:00:00+00:00
11,2026-01-01T20:00:00Z,s-00003,2026-01-01 20:00:00+00:00
12,2026-01-01T23:00:00Z,s-00003,2026-01-01 23:00:00+00:00
13,2026-01-01T20:00:00Z,s-00004,2026-01-01 20:00:00+00:00
14,2026-01-01T23:00:00Z,s-00004,2026-01-01 23:00:00+00:00
15,2026-01-02T02:00:00Z,s-00004,2026-01-02 02:00:00+00:00
16,2026-01-01T23:00:00Z,s-00005,2026-01-01 23:00:00+00:00
17,2026-01-02T02:00:00Z,s-00005,2026-01-02 02:00:00+00:00
18,2026-01-02T05:00:00Z,s-00005,2026-01-02 05:00:00+00:00
19,2026-01-02T02:00:00Z,s-00006,2026-01-02 02:00:00+00:00
20,2026-01-02T05:00:00Z,s-00006,2026-01-02 05:00:00+00:00
21,2026-01-02T08:00:00Z,s-00006,2026-01-02 08:00:00+00:00
22,2026-01-02T05:00:00Z,s-00007,2026-01-02 05:00:00+00:00
23,2026-01-02T08:00:00Z,s-00007,2026-01-02 08:00:00+00:00
24,2026-01-02T11:00:00Z,s-00007,2026-01-02 11:00:00+00:00
25,2026-01-02T08:00:00Z,s-00008,2026-01-02 08:00:00+00:00
26,2026-01-02T11:00:00Z,s-00008,2026-01-02 11:00:00+00:00
27,2026-01-02T14:00:00Z,s-00008,2026-01-02 14:00:00+00:00
28,2026-01-02T11:00:00Z,s-00009,2026-01-02 11:00:00+00:00
29,2026-01-02T14:00:00Z,s-00009,2026-01-02 14:00:00+00:00
30,2026-01-02T17:00:00Z,s-00009,2026-01-02 17:00:00+00:00
31,2026-01-02T14:00:00Z,s-00010,2026-01-02 14:00:00+00:00
32,2026-01-02T17:00:00Z,s-00010,2026-01-02 17:00:00+00:00
33,2026-01-02T20:00:00Z,s-00010,2026-01-02 20:00:00+00:00
34,2026-01-02T17:00:00Z,s-00011,2026-01-02 17:00:00+00:00
35,2026-01-02T20:00:00Z,s-00011,2026-01-02 20:00:00+00:00
36,2026-01-02T23:00:00Z,s-00011,2026-01-02 23:00:00+00:00
37,2026-01-02T20:00:00Z,s-00012,2026-01-02 20:00:00+00:00
38,2026-01-02T23:00:00Z,s-00012,2026-01-02 23:00:00+00:00
39,2026-01-03T02:00:00Z,s-00012,2026-01-03 02:00:00+00:00
40,2026-01-02T23:00:00Z,s-00013,2026-01-02 23:00:00+00:00
41,2026-01-03T02:00:00Z,s-00013,2026-01-03 02:00:00+00:00
42,2026-01-03T05:00:00Z,s-00013,2026-01-03 05:00:00+00:00
43,2026-01-03T02:00:00Z,s-00014,2026-01-03 02:00:00+00:00
44,2026-01-03T05:00:00Z,s-00014,2026-01-03 05:00:00+00:00
45,2026-01-03T08:00:00Z,s-00014,2026-01-03 08:00:00+00:00
46,2026-01-03T05:00:00Z,s-00015,2026-01-03 05:00:00+00:00
47,2026-01-03T08:00:00Z,s-00015,2026-01-03 08:00:00+00:00
48,2026-01-03T11:00:00Z,s-00015,2026-01-03 11:00:00+00:00
