file_row,incident_at,incident_id,label_available_at,severity,shipment_id,incident_at_utc,label_available_at_utc
1,2026-01-01T17:00:00Z,inc-00000,2026-01-02T11:00:00Z,1,s-00000,2026-01-01 17:00:00+00:00,2026-01-02 11:00:00+00:00
2,2026-01-01T20:01:00Z,inc-00001,2026-01-02T15:01:00Z,2,s-00001,2026-01-01 20:01:00+00:00,2026-01-02 15:01:00+00:00
3,2026-01-02T08:05:00Z,inc-00005,2026-01-03T07:05:00Z,3,s-00005,2026-01-02 08:05:00+00:00,2026-01-03 07:05:00+00:00
4,2026-01-02T11:06:00Z,inc-00006,2026-01-03T11:06:00Z,1,s-00006,2026-01-02 11:06:00+00:00,2026-01-03 11:06:00+00:00
5,2026-01-02T20:09:00Z,inc-00009,2026-01-03T23:09:00Z,1,s-00009,2026-01-02 20:09:00+00:00,2026-01-03 23:09:00+00:00
6,2026-01-03T20:17:00Z,inc-00017,2026-01-04T20:17:00Z,3,s-00017,2026-01-03 20:17:00+00:00,2026-01-04 20:17:00+00:00
7,2026-01-04T02:19:00Z,inc-00019,2026-01-05T04:19:00Z,2,s-00019,2026-01-04 02:19:00+00:00,2026-01-05 04:19:00+00:00
8,2026-01-04T05:20:00Z,inc-00020,2026-01-05T08:20:00Z,3,s-00020,2026-01-04 05:20:00+00:00,2026-01-05 08:20:00+00:00
9,2026-01-04T20:25:00Z,inc-00025,2026-01-05T17:25:00Z,2,s-00025,2026-01-04 20:25:00+00:00,2026-01-05 17:25:00+00:00
10,2026-01-05T11:30:00Z,inc-00030,2026-01-06T13:30:00Z,1,s-00030,2026-01-05 11:30:00+00:00,2026-01-06 13:30:00+00:00
11,2026-01-05T20:33:00Z,inc-00033,2026-01-06T14:33:00Z,1,s-00033,2026-01-05 20:33:00+00:00,2026-01-06 14:33:00+00:00
12,2026-01-05T23:34:00Z,inc-00034,2026-01-06T18:34:00Z,2,s-00034,2026-01-05 23:34:00+00:00,2026-01-06 18:34:00+00:00
13,2026-01-06T08:00:00Z,inc-00037,2026-01-07T06:00:00Z,2,s-00037,2026-01-06 08:00:00+00:00,2026-01-07 06:00:00+00:00
14,2026-01-07T20:12:00Z,inc-00049,2026-01-08T19:12:00Z,2,s-00049,2026-01-07 20:12:00+00:00,2026-01-08 19:12:00+00:00
15,2026-01-07T23:13:00Z,inc-00050,2026-01-08T23:13:00Z,3,s-00050,2026-01-07 23:13:00+00:00,2026-01-08 23:13:00+00:00
16,2026-01-09T23:29:00Z,inc-00066,2026-01-10T17:29:00Z,1,s-00066,2026-01-09 23:29:00+00:00,2026-01-10 17:29:00+00:00
17,2026-01-10T17:35:00Z,inc-00072,2026-01-11T17:35:00Z,1,s-00072,2026-01-10 17:35:00+00:00,2026-01-11 17:35:00+00:00
18,2026-01-11T02:01:00Z,inc-00075,2026-01-12T05:01:00Z,1,s-00075,2026-01-11 02:01:00+00:00,2026-01-12 05:01:00+00:00
19,2026-01-11T11:04:00Z,inc-00078,2026-01-12T06:04:00Z,1,s-00078,2026-01-11 11:04:00+00:00,2026-01-12 06:04:00+00:00
20,2026-01-11T17:06:00Z,inc-00080,2026-01-12T14:06:00Z,3,s-00080,2026-01-11 17:06:00+00:00,2026-01-12 14:06:00+00:00
21,2026-01-12T05:10:00Z,inc-00084,2026-01-13T06:10:00Z,1,s-00084,2026-01-12 05:10:00+00:00,2026-01-13 06:10:00+00:00
22,2026-01-12T20:15:00Z,inc-00089,2026-01-13T15:15:00Z,3,s-00089,2026-01-12 20:15:00+00:00,2026-01-13 15:15:00+00:00
23,2026-01-13T17:22:00Z,inc-00096,2026-01-14T19:22:00Z,1,s-00096,2026-01-13 17:22:00+00:00,2026-01-14 19:22:00+00:00
24,2026-01-14T17:30:00Z,inc-00104,2026-01-15T16:30:00Z,3,s-00104,2026-01-14 17:30:00+00:00,2026-01-15 16:30:00+00:00
25,2026-01-14T20:31:00Z,inc-00105,2026-01-15T20:31:00Z,1,s-00105,2026-01-14 20:31:00+00:00,2026-01-15 20:31:00+00:00
26,2026-01-15T11:36:00Z,inc-00110,2026-01-16T05:36:00Z,3,s-00110,2026-01-15 11:36:00+00:00,2026-01-16 05:36:00+00:00
27,2026-01-15T17:01:00Z,inc-00112,2026-01-16T13:01:00Z,2,s-00112,2026-01-15 17:01:00+00:00,2026-01-16 13:01:00+00:00
28,2026-01-17T02:12:00Z,inc-00123,2026-01-17T22:12:00Z,1,s-00123,2026-01-17 02:12:00+00:00,2026-01-17 22:12:00+00:00
29,2026-01-17T08:14:00Z,inc-00125,2026-01-18T06:14:00Z,3,s-00125,2026-01-17 08:14:00+00:00,2026-01-18 06:14:00+00:00
30,2026-01-18T11:23:00Z,inc-00134,2026-01-19T07:23:00Z,3,s-00134,2026-01-18 11:23:00+00:00,2026-01-19 07:23:00+00:00
