file_row,device_time,event_id,kind,payload,received_at,revision,shipment_id,source,value,payload.firmware,payload.correction,device_time_utc,received_at_utc
1,2026-01-01T03:00:00Z,s-00000-temp-03,temperature_c,"{""firmware"":""4.7.9""}",2026-01-01T03:35:00Z,1,s-00000,sensor-north,3.737,4.7.9,,2026-01-01 03:00:00+00:00,2026-01-01 03:35:00+00:00
2,2026-01-01T01:00:00Z,s-00000-temp-01,temperature_c,"{""firmware"":""4.7.9""}",2026-01-01T01:01:00Z,1,s-00000,sensor-north,3.505,4.7.9,,2026-01-01 01:00:00+00:00,2026-01-01 01:01:00+00:00
3,2026-01-01T02:00:00Z,s-00000-temp-02,temperature_c,"{""firmware"":""4.7.9""}",2026-01-01T02:02:00Z,1,s-00000,sensor-north,3.786,4.7.9,,2026-01-01 02:00:00+00:00,2026-01-01 02:02:00+00:00
4,2026-01-01T00:00:00Z,s-00000-temp-00,temperature_c,"{""firmware"":""4.7.9""}",2026-01-01T00:05:00Z,1,s-00000,sensor-north,4.224,4.7.9,,2026-01-01 00:00:00+00:00,2026-01-01 00:05:00+00:00
5,2026-01-01T03:00:00Z,s-00001-temp-00,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T03:35:00Z,1,s-00001,sensor-central,4.83,4.8.1,,2026-01-01 03:00:00+00:00,2026-01-01 03:35:00+00:00
6,2026-01-01T04:00:00Z,s-00000-temp-04,temperature_c,"{""firmware"":""4.7.9""}",2026-01-01T04:01:00Z,1,s-00000,sensor-north,3.399,4.7.9,,2026-01-01 04:00:00+00:00,2026-01-01 04:01:00+00:00
7,2026-01-01T04:00:00Z,s-00000-temp-04,temperature_c,"{""firmware"":""4.7.9""}",2026-01-01T04:01:00Z,1,s-00000,sensor-north,3.399,4.7.9,,2026-01-01 04:00:00+00:00,2026-01-01 04:01:00+00:00
8,2026-01-01T04:00:00Z,s-00001-temp-01,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T04:35:00Z,1,s-00001,sensor-central,3.33,4.8.1,,2026-01-01 04:00:00+00:00,2026-01-01 04:35:00+00:00
9,2026-01-01T05:00:00Z,s-00000-temp-05,temperature_c,"{""firmware"":""4.7.9""}",2026-01-01T05:01:00Z,1,s-00000,sensor-north,5.038,4.7.9,,2026-01-01 05:00:00+00:00,2026-01-01 05:01:00+00:00
10,2026-01-01T05:00:00Z,s-00001-temp-02,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T05:02:00Z,1,s-00001,sensor-central,5.303,4.8.1,,2026-01-01 05:00:00+00:00,2026-01-01 05:02:00+00:00
